,mov_href,mov_title,mov_year,mov_type,mov_rating
1169,tt10854570,Coca-Cola: Coke is it!,1984.0,4,7.0
1170,tt0335674,Hangin' In,1984.0,1,7.0
1171,tt11358390,Renfield,,0,
1172,tt1462759,Butcher's Crossing,,0,
1173,tt8593824,The Old Way,2022.0,0,
1174,tt14827638,The Retirement Plan,2022.0,0,
1175,tt11291274,The Unbearable Weight of Massive Talent,2022.0,0,
1176,tt13060064,Untitled Nicolas Cage/Amazon Studios Project,,1,
1177,tt11003218,Pig,2021.0,0,6.9
1178,tt8114980,Willy's Wonderland,2021.0,0,5.5
1179,tt6372694,Prisoners of the Ghostland,2021.0,0,4.2
1180,tt2850386,The Croods: A New Age,2020.0,0,7.0
1181,tt9624766,Jiu Jitsu,2020.0,0,2.9
1182,tt8380776,Grand Isle,2019.0,0,4.6
1183,tt7394816,Primal,2019.0,0,4.9
1184,tt8535180,Kill Chain,2019.0,0,5.0
1185,tt5792656,Running with the Devil,2019.0,0,5.4
1186,tt5073642,Color Out of Space,2019.0,0,6.2
1187,tt3758162,A Score to Settle,2019.0,0,4.7
1188,tt4633694,Spider-Man: Into the Spider-Verse,2018.0,0,8.4
1189,tt7295450,Between Worlds,2018.0,0,4.0
1190,tt7424200,Teen Titans GO! To the Movies,2018.0,0,6.8
1191,tt4976192,211,2018.0,0,4.4
1192,tt6083648,Looking Glass,2018.0,0,4.6
1193,tt6998518,Mandy,2018.0,0,6.6
1194,tt10690676,Dark,2017.0,0,6.5
1195,tt6143568,The Humanity Bureau,2017.0,0,4.6
1196,tt5462326,Mom and Dad,2017.0,0,5.5
1197,tt3481634,Inconceivable,2017.0,0,5.2
1198,tt5460530,Vengeance: A Love Story,2017.0,0,5.2
1199,tt5580536,Arsenal,2017.0,0,4.0
1200,tt4382824,Army of One,2016.0,0,5.1
1201,tt2032572,USS Indianapolis: Men of Courage,2016.0,0,5.3
1202,tt3774114,Snowden,2016.0,0,7.3
1203,tt4054654,Dog Eat Dog,2016.0,0,4.7
1204,tt3733774,The Trust,2016.0,0,5.4
1205,tt3733778,Pay the Ghost,2015.0,0,5.2
1206,tt3687398,The Runner,2015.0,0,4.7
1207,tt1274586,Dying of the Light,2014.0,0,4.5
1208,tt2467046,Left Behind,2014.0,0,3.1
1209,tt1552224,Outcast,2014.0,0,4.6
1210,tt2401807,Rage,2014.0,0,5.0
1211,tt2382396,Joe,2013.0,0,6.9
1212,tt0481499,The Croods,2013.0,0,7.2
1213,tt2005374,The Frozen Ground,2013.0,0,6.4
1214,tt1656186,Stolen,2012.0,0,5.5
1215,tt1071875,Ghost Rider: Spirit of Vengeance,2011.0,0,4.3
1216,tt1674784,Trespass,2011.0,0,5.3
1217,tt1214962,Seeking Justice,2011.0,0,6.2
1218,tt1502404,Drive Angry,2011.0,0,5.4
1219,tt0479997,Season of the Witch,2011.0,0,5.4
1220,tt0963966,The Sorcerer's Apprentice,2010.0,0,6.1
1221,tt1250777,Kick-Ass,2010.0,0,7.6
1222,tt0375568,Astro Boy,2009.0,0,6.3
1223,tt1095217,Bad Lieutenant: Port of Call New Orleans,2009.0,0,6.6
1224,tt0436339,G-Force,2009.0,0,5.1
1225,tt0448011,Knowing,2009.0,0,6.2
1226,tt0814022,Bangkok Dangerous,2008.0,0,5.3
1227,tt0465234,National Treasure: Book of Secrets,2007.0,0,6.5
1228,tt0435705,Next,2007.0,0,6.2
1229,tt12409886,Werewolf Women of the S.S.,2007.0,6,7.5
1230,tt0462322,Grindhouse,2007.0,0,7.5
1231,tt0259324,Ghost Rider,2007.0,0,5.3
1232,tt0450345,The Wicker Man,2006.0,0,3.7
1233,tt0469641,World Trade Center,2006.0,0,5.9
1234,tt0429589,The Ant Bully,2006.0,0,5.8
1235,tt0384680,The Weather Man,2005.0,0,6.5
1236,tt0399295,Lord of War,2005.0,0,7.6
1237,tt0368891,National Treasure,2004.0,0,6.9
1238,tt0325805,Matchstick Men,2003.0,0,7.3
1239,tt0268126,Adaptation.,2002.0,0,7.7
1240,tt0305973,Sonny,2002.0,0,5.6
1241,tt0245562,Windtalkers,2002.0,0,6.1
1242,tt0259929,Christmas Carol: The Movie,2001.0,0,5.5
1243,tt0218967,The Family Man,2000.0,0,6.8
1244,tt0187078,Gone in 60 Seconds,2000.0,0,6.5
1245,tt0163988,Bringing Out the Dead,1999.0,0,6.8
1246,tt0134273,8MM,1999.0,0,6.5
1247,tt0120832,Snake Eyes,1998.0,0,6.0
1248,tt0120632,City of Angels,1998.0,0,6.7
1249,tt0118880,Con Air,1997.0,0,6.9
1250,tt0117500,The Rock,1996.0,0,7.4
1251,tt0113627,Leaving Las Vegas,1995.0,0,7.5
1252,tt0113552,Kiss of Death,1995.0,0,5.9
1253,tt0111477,Trapped in Paradise,1994.0,0,5.9
1254,tt0110167,It Could Happen to You,1994.0,0,6.4
1255,tt0109951,Guarding Tess,1994.0,0,6.2
1256,tt0106684,Deadfall,1993.0,0,4.0
1257,tt0105226,Red Rock West,1993.0,0,7.0
1258,tt0106266,Amos & Andrew,1993.0,0,5.7
1259,tt0104438,Honeymoon in Vegas,1992.0,0,5.8
1260,tt0101004,Zandalee,1991.0,0,4.4
1261,tt0099844,Industrial Symphony No. 1: The Dream of the Brokenhearted,1990.0,2,7.0
1262,tt0099575,Fire Birds,1990.0,0,4.8
1263,tt0100935,Wild at Heart,1990.0,0,7.2
1264,tt0100762,Time to Kill,1989.0,0,5.1
1265,tt0095722,Never on Tuesday,1988.0,0,4.6
1266,tt0098577,Vampire's Kiss,1988.0,0,6.0
1267,tt0093565,Moonstruck,1987.0,0,7.1
