,mg_movie_href,mg_genre_id
0,tt0381849,19
1,tt0381849,9
2,tt0381849,7
0,tt0401445,2
1,tt0401445,11
2,tt0401445,7
0,tt0352248,24
1,tt0352248,20
2,tt0352248,7
0,tt0311113,7
1,tt0311113,9
2,tt0311113,13
0,tt0268978,20
1,tt0268978,7
0,tt0228750,1
1,tt0228750,9
2,tt0228750,7
0,tt0172495,7
1,tt0172495,9
2,tt0172495,13
0,tt0134618,6
1,tt0134618,2
2,tt0134618,7
0,tt0118772,2
1,tt0118772,11
2,tt0118772,7
0,tt0119272,19
1,tt0119272,9
2,tt0119272,7
0,tt5243966,3
0,tt0114303,2
1,tt0114303,11
2,tt0114303,7
0,tt0117193,19
1,tt0117193,9
2,tt0117193,7
0,tt0114214,11
1,tt0114214,9
2,tt0114214,1
0,tt0111309,2
1,tt0111309,7
0,tt0109823,7
1,tt0109823,11
2,tt0109823,21
0,tt0108137,17
1,tt0108137,7
0,tt0107450,2
0,tt0101996,11
1,tt0101996,20
2,tt0101996,7
0,tt0103468,2
0,tt0105275,19
1,tt0105275,7
0,tt0098896,19
1,tt0098896,7
0,tt0101053,7
0,tt0102969,2
1,tt0102969,7
0,tt0102721,11
1,tt0102721,7
0,tt0122333,2
0,tt0099323,11
1,tt0099323,7
0,tt0100414,21
1,tt0100414,7
0,tt0088580,11
1,tt0088580,7
0,tt0092433,19
1,tt0092433,2
2,tt0092433,7
0,tt0074077,11
1,tt0074077,7
0,tt0126758,1
1,tt0126758,21
2,tt0126758,7
0,tt0959300,24
1,tt0959300,1
2,tt0959300,7
0,tt7428530,24
1,tt7428530,20
2,tt7428530,7
0,tt6487156,7
0,tt11286314,0
1,tt11286314,2
2,tt11286314,7
0,tt14677742,3
0,tt8690814,24
1,tt8690814,20
2,tt8690814,22
0,tt10199110,14
1,tt10199110,2
2,tt10199110,8
0,tt10856690,3
0,tt10851666,3
0,tt1663202,7
1,tt1663202,9
2,tt1663202,13
0,tt10852568,3
0,tt10852626,3
0,tt10852556,3
0,tt0993846,19
1,tt0993846,2
2,tt0993846,20
0,tt1343092,11
1,tt1343092,7
0,tt15739482,11
1,tt15739482,3
2,tt15739482,7
0,tt1853728,12
1,tt1853728,7
0,tt10851652,3
0,tt10856664,3
0,tt1616195,11
1,tt1616195,20
2,tt1616195,7
0,tt5295894,14
1,tt5295894,3
2,tt5295894,0
0,tt1375666,0
1,tt1375666,9
2,tt1375666,13
0,tt1130884,1
1,tt1130884,18
0,tt0959337,11
1,tt0959337,7
0,tt0450259,7
1,tt0450259,1
2,tt0450259,13
0,tt0407887,19
1,tt0407887,9
2,tt0407887,7
0,tt0338751,20
1,tt0338751,7
0,tt0264464,19
1,tt0264464,20
2,tt0264464,7
0,tt0217505,19
1,tt0217505,7
0,tt0119004,2
1,tt0119004,7
0,tt0163978,7
1,tt0163978,11
2,tt0163978,13
0,tt0120533,2
1,tt0120533,7
0,tt0120744,7
1,tt0120744,9
2,tt0120744,13
0,tt0120338,11
1,tt0120338,7
0,tt15304034,8
0,tt0117509,11
1,tt0117509,7
0,tt10852498,3
0,tt0114702,11
1,tt0114702,20
2,tt0114702,7
0,tt0112461,19
1,tt0112461,20
2,tt0112461,7
0,tt0109820,3
0,tt0088527,2
1,tt0088527,17
0,tt0105156,1
1,tt0105156,7
0,tt10851578,3
0,tt0101627,15
1,tt0101627,2
2,tt0101627,0
0,tt0098887,2
1,tt0098887,7
0,tt0094540,2
1,tt0094540,7
0,tt10257288,3
1,tt10257288,17
0,tt0086793,11
1,tt0086793,7
0,tt0096673,7
0,tt10850602,3
0,tt10851610,3
0,tt0096661,17
1,tt0096661,13
0,tt0190196,17
0,tt10640346,7
0,tt12593682,1
1,tt12593682,9
0,tt13320622,2
1,tt13320622,11
2,tt13320622,9
0,tt14067406,2
0,tt2935510,7
1,tt2935510,18
2,tt2935510,13
0,tt5463162,2
1,tt5463162,9
2,tt5463162,13
0,tt3640424,11
1,tt3640424,9
2,tt3640424,7
0,tt6024606,3
1,tt6024606,22
0,tt1596363,2
1,tt1596363,20
2,tt1596363,7
0,tt3707106,11
1,tt3707106,7
0,tt2713180,21
1,tt2713180,9
2,tt2713180,7
0,tt2193215,19
1,tt2193215,1
2,tt2193215,7
0,tt2024544,24
1,tt2024544,20
2,tt2024544,7
0,tt0816711,15
1,tt0816711,9
2,tt0816711,13
0,tt1764234,19
1,tt1764234,1
2,tt1764234,7
0,tt2290075,24
1,tt2290075,7
0,tt1402488,14
1,tt1402488,2
2,tt1402488,13
0,tt1210166,6
1,tt1210166,20
2,tt1210166,7
0,tt0478304,23
1,tt0478304,7
0,tt1001526,14
1,tt1001526,2
2,tt1001526,9
0,tt1448751,3
1,tt1448751,21
0,tt0361748,7
1,tt0361748,21
2,tt0361748,13
0,tt0421715,11
1,tt0421715,23
2,tt0421715,7
0,tt0887883,19
1,tt0887883,2
2,tt0887883,7
0,tt12753128,3
0,tt0443680,19
1,tt0443680,20
2,tt0443680,7
0,tt0449467,7
0,tt0356910,19
1,tt0356910,2
2,tt0356910,9
0,tt0349903,19
1,tt0349903,1
0,tt0332452,24
1,tt0332452,7
0,tt3419296,14
1,tt3419296,3
2,tt3419296,13
0,tt0165982,14
1,tt0165982,2
2,tt0165982,13
0,tt0270288,19
1,tt0270288,2
2,tt0270288,20
0,tt0240772,19
1,tt0240772,1
0,tt0108778,2
1,tt0108778,11
0,tt0266987,19
1,tt0266987,1
2,tt0266987,9
0,tt0236493,19
1,tt0236493,2
2,tt0236493,13
0,tt0208092,19
1,tt0208092,2
0,tt0137523,7
0,tt0120601,2
1,tt0120601,23
2,tt0120601,7
0,tt0119643,11
1,tt0119643,23
2,tt0119643,7
0,tt0120102,7
1,tt0120102,20
2,tt0120102,13
0,tt0118972,19
1,tt0118972,9
2,tt0118972,7
0,tt0114746,1
1,tt0114746,18
2,tt0114746,0
0,tt0110322,11
1,tt0110322,21
2,tt0110322,7
0,tt0110148,15
1,tt0110148,23
2,tt0110148,7
0,tt0109783,2
1,tt0109783,11
0,tt0108399,19
1,tt0108399,11
2,tt0108399,7
0,tt0107302,19
1,tt0107302,1
2,tt0107302,7
0,tt0104007,3
0,tt0105265,7
0,tt0096708,19
1,tt0096708,2
2,tt0096708,23
0,tt0104009,14
1,tt0104009,2
2,tt0104009,23
0,tt0166002,1
1,tt0166002,21
2,tt0166002,7
0,tt0104567,2
1,tt0104567,8
2,tt0104567,7
0,tt0103074,19
1,tt0103074,7
2,tt0103074,13
0,tt0098804,7
0,tt0101268,6
